t,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0,1.857029419,1.857075358,1.857247132,1.857268304,0.287549492,0.28229401,0.282348871,0.287549492,0.284705236,0.284705236
0.033333,1.857066437,1.857006515,1.857219302,1.857229688,0.287536443,0.282231692,0.282311321,0.287536443,0.284772082,0.284772082
0.066666,1.856675485,1.856669626,1.856777084,1.856966035,0.2874427,0.282156591,0.282277499,0.2874427,0.284641054,0.284641054
0.099999,1.856360699,1.856430341,1.856503045,1.856532473,0.287121789,0.281813043,0.281923831,0.287121789,0.284304963,0.284304963
0.133332,1.8561575,1.856139124,1.856216356,1.85627135,0.286900214,0.281525688,0.281817304,0.286900214,0.284088448,0.284088448
0.166665,1.855913022,1.855983995,1.856201176,1.85626842,0.286869055,0.281501454,0.281590669,0.286869055,0.284094573,0.284094573
0.199998,1.855704097,1.855758558,1.855873074,1.855946045,0.286580102,0.28120824,0.281515302,0.286580102,0.283770467,0.283770467
0.233331,1.855752966,1.85576495,1.855824072,1.855952436,0.286485293,0.281052711,0.281431412,0.286485293,0.283668734,0.283668734
0.266664,1.855655361,1.855649369,1.855847241,1.855943248,0.286565454,0.281146454,0.281564837,0.286565454,0.283778723,0.283778723
0.299997,1.855373865,1.855432587,1.855628063,1.855643776,0.286294345,0.280824212,0.281194391,0.286294345,0.283508145,0.283508145
0.33333,1.855360948,1.85536694,1.855441109,1.855497036,0.286212053,0.280689722,0.281064961,0.286212053,0.283388303,0.283388303
0.366663,1.855307685,1.855252824,1.855400629,1.855315408,0.285977961,0.280403965,0.280933135,0.285977961,0.283176582,0.283176582
0.399996,1.854959477,1.855003286,1.855151357,1.855218203,0.285792871,0.280201032,0.280578935,0.285792871,0.282949148,0.282949148
0.433329,1.854806744,1.854775719,1.854911407,1.855048693,0.28549726,0.279920068,0.280329929,0.28549726,0.282696148,0.282696148
0.466662,1.854585036,1.854560935,1.854659472,1.85484323,0.285209905,0.279597826,0.280134187,0.285209905,0.282336621,0.282336621
0.499995,1.854472651,1.8545367,1.854555875,1.854718194,0.285041727,0.279460007,0.279988112,0.285041727,0.282257658,0.282257658
0.533328,1.854371318,1.854401944,1.854489562,1.854593159,0.28463626,0.279219657,0.279581048,0.28463626,0.281864975,0.281864975
0.566661,1.854301809,1.854341623,1.854446019,1.854504476,0.284327733,0.279052011,0.279397956,0.284327733,0.281554051,0.281554051
0.599994,1.854250676,1.854388095,1.854472784,1.854482638,0.284161153,0.278921649,0.278997549,0.284161153,0.281368295,0.281368295
0.633327,1.854210329,1.854253473,1.85431619,1.854451346,0.283882719,0.278774776,0.278480763,0.283882719,0.281091726,0.281091726
0.66666,1.853989687,1.85405813,1.854180236,1.854225776,0.283505482,0.278486755,0.278136283,0.283505482,0.28071662,0.28071662
0.699993,1.853909126,1.853947742,1.854103537,1.854073976,0.283536508,0.278556131,0.278160385,0.283536508,0.280801175,0.280801175
0.733326,1.853935092,1.854057331,1.854104469,1.854120448,0.283412804,0.27829554,0.278089412,0.283412804,0.280593316,0.280593316
0.766659,1.853915384,1.853923907,1.854036159,1.854077837,0.283337703,0.278314182,0.278056122,0.283337703,0.280494246,0.280494246
0.799992,1.854171048,1.854180502,1.854274378,1.854439894,0.283510276,0.278501403,0.27833389,0.283510276,0.2807318,0.2807318
0.833325,1.854417923,1.854464262,1.854555608,1.854614198,0.283688974,0.278636159,0.278602869,0.283688974,0.280966957,0.280966957
0.866658,1.854385033,1.854431505,1.854600216,1.854614464,0.283546761,0.278480896,0.278295008,0.283546761,0.280741387,0.280741387
0.899991,1.854488497,1.854611801,1.854701017,1.854778515,0.283816806,0.278750142,0.278700341,0.283816806,0.281064695,0.281064695
0.933324,1.854655876,1.854742429,1.854883577,1.855003818,0.284037582,0.278954406,0.27901486,0.284037582,0.281263367,0.281263367
0.966657,1.854932179,1.854966534,1.855118601,1.855148827,0.284145174,0.279019654,0.279233506,0.284145174,0.281358974,0.281358974
0.99999,1.855151224,1.855137243,1.855235513,1.855298231,0.284291914,0.279197553,0.27953391,0.284291914,0.281457511,0.281457511
1.033323,1.855182516,1.855274795,1.855419804,1.85545336,0.284334524,0.279211668,0.279468663,0.284334524,0.281525156,0.281525156
1.066656,1.855583322,1.855604894,1.855741647,1.855774404,0.284797914,0.27964523,0.280062814,0.284797914,0.281947533,0.281947533
